recording has been started
action target inititated
recorded at 3.94738
recorded at 3.94753
recorded at 3.94766
recorded at 3.94781
recorded at 3.94796
recorded at 3.94811
recorded at 3.94824
recorded at 3.94837
recorded at 3.94852
recorded at 3.94866
recorded at 3.94881
recorded at 3.94895
recorded at 3.94912
recorded at 3.94927
recorded at 3.94941
recorded at 3.94957
recorded at 3.94976
recorded at 3.9499
recorded at 3.95003
recorded at 3.95017
recorded at 3.95032
recorded at 3.95045
recorded at 3.95058
recorded at 3.95072
recorded at 3.95089
recorded at 3.95102
recorded at 3.95116
recorded at 3.95131
recorded at 3.95145
recorded at 3.95159
recorded at 3.95173
recorded at 3.95188
recorded at 3.95203
recorded at 3.95216
recorded at 3.95228
recorded at 3.95241
recorded at 3.95254
recorded at 3.95267
recorded at 3.95284
recorded at 3.953
recorded at 3.95314
recorded at 3.95329
recorded at 3.95344
recorded at 3.95359
recorded at 3.95373
recorded at 3.95388
recorded at 3.95401
recorded at 3.95416
recorded at 3.95427
recorded at 3.95439
recorded at 3.9545
recorded at 3.95464
recorded at 3.95487
recorded at 3.95502
recorded at 3.95516
recorded at 3.9553
recorded at 3.95546
recorded at 3.95561
recorded at 3.95577
recorded at 3.95592
recorded at 3.9563
recorded at 3.95645
recorded at 3.95658
recorded at 3.95672
recorded at 3.95691
recorded at 3.95707
recorded at 3.95722
recorded at 3.95736
recorded at 3.95754
recorded at 3.9577
recorded at 3.95788
recorded at 3.95801
recorded at 3.95814
recorded at 3.95828
recorded at 3.95842
recorded at 3.95856
recorded at 3.95869
recorded at 3.95883
recorded at 3.95896
recorded at 3.95911
recorded at 3.95923
recorded at 3.95937
recorded at 3.95998
recorded at 3.96024
recorded at 3.96048
recorded at 3.96071
recorded at 3.96087
recorded at 3.96101
recorded at 3.96114
recorded at 3.96127
recorded at 3.9614
recorded at 3.96154
recorded at 3.96169
recorded at 3.96182
recorded at 3.96195
recorded at 3.9621
recorded at 3.96223
recorded at 3.96237
recorded at 3.9625
recorded at 3.96266
recorded at 3.96284
recorded at 3.96302
recorded at 3.96319
recorded at 3.9634
recorded at 3.96359
recorded at 3.96382
recorded at 3.96396
recorded at 3.9641
recorded at 3.96423
recorded at 3.96436
recorded at 3.9645
recorded at 3.96463
recorded at 3.96478
recorded at 3.96495
recorded at 3.96512
recorded at 3.96528
recorded at 3.96544
recorded at 3.96564
recorded at 5.06796
recorded at 5.06814
recorded at 5.06829
recorded at 5.06842
recorded at 5.06855
recorded at 5.06868
recorded at 5.06881
recorded at 5.06894
recorded at 5.06907
recorded at 5.0692
recorded at 5.06933
recorded at 5.06946
recorded at 5.06959
recorded at 5.06975
recorded at 5.06992
recorded at 5.07009
recorded at 5.07026
recorded at 5.07044
recorded at 5.07061
recorded at 5.07079
recorded at 5.07092
recorded at 5.07104
recorded at 5.07118
recorded at 5.07131
recorded at 5.07144
recorded at 5.07157
recorded at 5.07172
recorded at 5.07185
recorded at 5.07199
recorded at 5.07212
recorded at 5.07226
recorded at 5.07239
recorded at 5.07253
recorded at 5.07267
recorded at 5.07286
recorded at 5.07303
recorded at 5.07319
recorded at 5.07335
recorded at 5.07351
recorded at 5.07369
recorded at 5.07383
recorded at 5.07397
recorded at 5.0741
recorded at 5.07423
recorded at 5.07436
recorded at 5.07449
recorded at 5.07462
recorded at 5.07478
recorded at 5.07493
recorded at 5.07513
recorded at 5.07528
recorded at 5.07543
recorded at 5.07562
recorded at 5.07579
recorded at 5.07591
recorded at 5.07631
recorded at 5.07645
recorded at 5.07666
recorded at 5.07687
recorded at 5.07712
recorded at 5.07737
recorded at 5.07762
recorded at 5.07786
recorded at 5.07801
recorded at 5.07824
recorded at 5.07877
recorded at 5.07896
recorded at 5.07913
recorded at 5.0793
recorded at 5.07946
recorded at 5.07963
recorded at 5.07979
recorded at 5.07996
recorded at 5.08012
recorded at 5.08029
recorded at 5.08045
recorded at 5.08061
recorded at 5.08077
recorded at 5.08093
recorded at 5.08109
recorded at 5.08125
recorded at 5.08141
recorded at 5.08158
recorded at 5.08175
recorded at 5.08191
recorded at 5.08208
recorded at 5.08224
recorded at 5.0824
recorded at 5.08256
recorded at 5.08272
recorded at 5.08288
recorded at 5.08303
recorded at 5.08318
recorded at 5.08332
recorded at 5.08346
recorded at 5.08361
recorded at 5.08376
recorded at 5.08388
recorded at 5.08402
recorded at 5.08414
recorded at 5.08427
recorded at 5.08439
recorded at 5.08452
recorded at 5.08465
recorded at 5.08477
recorded at 5.0849
recorded at 5.08503
recorded at 5.08515
recorded at 5.08528
recorded at 5.0854
recorded at 5.08553
recorded at 5.08572
recorded at 5.08587
recorded at 5.08601
recorded at 5.08616
recorded at 5.0863
recorded at 5.08645
recorded at 5.08659
recorded at 5.08674
recorded at 5.08687
recorded at 5.087
recorded at 5.08713
recorded at 5.08728
recorded at 5.08742
recorded at 5.08754
recorded at 5.08767
recorded at 5.08781
recorded at 5.08794
recorded at 5.08807
recorded at 5.0882
recorded at 5.08833
recorded at 5.08847
recorded at 5.08859
recorded at 5.08874
recorded at 5.08888
recorded at 5.08902
recorded at 5.08916
recorded at 5.0893
recorded at 5.08944
recorded at 5.08959
recorded at 5.08975
recorded at 5.08989
recorded at 5.09013
recorded at 5.09027
recorded at 5.09041
recorded at 5.09061
recorded at 5.0908
recorded at 5.09095
recorded at 5.09111
recorded at 5.09127
recorded at 5.09142
recorded at 5.09157
recorded at 5.09174
recorded at 5.09186
recorded at 5.0923
recorded at 5.09244
recorded at 5.09261
recorded at 5.09282
recorded at 5.09301
recorded at 5.09317
recorded at 5.09334
recorded at 5.0935
recorded at 5.09367
recorded at 5.09383
recorded at 5.09435
recorded at 5.09449
recorded at 5.09462
recorded at 5.09478
recorded at 5.09494
recorded at 5.0951
recorded at 5.09526
recorded at 5.09542
recorded at 5.09558
recorded at 5.09575
recorded at 5.09587
recorded at 5.096
recorded at 5.09613
recorded at 5.09626
recorded at 5.09639
recorded at 5.09652
recorded at 5.09665
recorded at 5.09678
recorded at 5.0969
recorded at 5.09703
recorded at 5.09716
recorded at 5.09729
recorded at 5.09742
recorded at 5.09756
recorded at 5.09768
recorded at 5.09785
recorded at 5.098
recorded at 5.09815
recorded at 5.0983
recorded at 5.09845
recorded at 5.0986
recorded at 5.09876
recorded at 5.09888
recorded at 5.09902
recorded at 5.09914
recorded at 5.09927
recorded at 5.0994
recorded at 5.09953
recorded at 5.09966
recorded at 5.09978
recorded at 5.09991
recorded at 5.10005
recorded at 5.10017
recorded at 5.1003
recorded at 5.10043
